morpheme,translation
Acatl,reed
Amatl,paper
Atl,water
Ayauh,mist or fog
Centzon,four hundred or many
Chichic,bitter
Chichiltic,red
Chilli,chile
Cococ,hot or spicy
Copalli,incense
Coyotl,coyote
Ecatl,wind
Elotl,fresh maize ear
Eztli,blood
Huitz,needle or thorn
Huitzihtzil,colibri
Iztac,white
Iztli,obsidian or blade
Mecatl,"cord, rope, or vine"
Michi,fish
Misquitl,mesquite
Molli,sauce
Nochtli,prickly pear
Nopalli,nopal
Ocotl,pine
Papalo,butterfly
Patli,medicine
Quahuitl,tree or wood
Quetzal,"precious, feathered, or green"
Quilitl,edible green
Te,stone
Tecolotl,owl
Teo,divine
Tepe,hill or mountain
Tetl,stone
Texcal,stone or cliff
Tla,thing or something
Tlacatl,person
Tlaco,half or middle
Tlal,earth or ground
Tlalli,land
Tlanextia,to shine light
Tlazol,filth
Tomatl,tomato
Tonalco,sun or heat
Tonatiuh,sun
Tototl,bird
Tzon,hair
Xal,sand
Xihuitl,"herbs, green leaves"
Xiyotl,young maize ear
Xochitl,flower
Xocotl,sour fruit
Yauhtli,medicinal marigold
Zacatl,grass
