ID,official_name,type,text_subchapters,illustrations,synonyms,Label
ID001,Aca-capac-quilitl,plant,09e,p079_01,acacapac-quilitl; acapac-quilitl,Acatl/reed; Quilitl/edible green
ID002,Acatl,plant,,p079_04,,Acatl/reed
ID003,A-chilli,plant,08j,p065_02,,Atl/water; Chilli/chile
ID004,Acoco-xihuitl,plant,10a,p094_02,a-cocohtli,"Atl/water; Xihuitl/herbs, green leaves"
ID005,Acxoyatl,plant,10b,p095_02,,Acatl/reed
ID006,Ahuatl,plant,08l,p088_03,ahuatl tepiton,NA
ID007,Ahquiztli,plant,09b,p074_02,a-quiztli,NA
ID009,Ahuiyac-xihuitl,plant,08k; 11b,p107_01,hayuiyac xihuitl,"Xihuitl/herbs, green leaves"
ID012,Xiuh-amolli,plant,01e,p011_01,,"Xihuitl/herbs, green leaves"
ID014,A-quahuitl,plant,06d; 09g; 09i,,,Atl/water; Quahuitl/tree or wood
ID015,A-toch-ietl,plant,04a,p024_02,,Atl/water
ID016,Atoya-xocotl,plant,01d; 10k,,,Atl/water; Xocotl/sour fruit
ID017,A-xocotl,plant,08l; 09f; 10k,,,Atl/water; Xocotl/sour fruit
ID018,Ayauh-quahuitl,plant,08f; 08l; 09f; 09q,p091_01,,Ayauh/mist or fog; Quahuitl/tree or wood
ID019,Ayauhtli,plant,07b,,,Ayauh/mist or fog
ID020,A-yecotli,plant,,p050_01,,Atl/water
ID021,A-illin,plant,08l,,a-ylin,Atl/water
ID022,Ylin,plant,07k; 09j; 09o,,,NA
ID023,Tepe-ylin,plant,08l,,,Tepe/hill or mountain
ID024,Quetzal-ylin,plant,07k; 07l; 08l; 09i; 09m; 13a,p069_10,quetzal ylin,"Quetzal/precious, feathered, or green"
ID025,Ayo-nelhuatl,plant,11c,p109_02,ayonelhuatl,NA
ID026,A-zaca-tzontli,plant,,p079_02,,Atl/water; Tzon/hair; Zacatl/grass
ID028,Eca-patli,plant,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a,p007_01; p065_01,xiuh-ecapatli,Ecatl/wind; Patli/medicine
ID030,Elo-xochitl,plant,08l,p069_08,,Elotl/fresh maize ear; Xochitl/flower
ID031,Xiuh-elo-quilitl,plant,11c,p108_01,xiuh-eloquilitl,"Elotl/fresh maize ear; Quilitl/edible green; Xihuitl/herbs, green leaves"
ID032,Elo-zacatl,plant,07l; 11d,,,Elotl/fresh maize ear; Zacatl/grass
ID033,Ez-patli,plant,,p033_01,,Patli/medicine
ID035,Teo-ezquahuitl,plant,,p068_06,teo-ez-quahuitl,Teo/divine
ID036,Iztac huitz-quahuitl,plant,11c,p109_01,,Huitz/needle or thorn; Iztac/white; Quahuitl/tree or wood
ID037,Huitz-quahuitl,plant,08l; 09d,p068_07,,Huitz/needle or thorn; Quahuitl/tree or wood
ID039,Iztac-patli,plant,04b,p025_01,iztac patli,Iztac/white; Patli/medicine
ID040,Iztac-quahuitl,plant,,p068_05,iztac quahuitl,Iztac/white; Quahuitl/tree or wood
ID041,Teo-iztaquilitl,plant,05f; 07b; 07h; 09b; 09e,p031_01; p051_01,chichiltic teo-iztaquilitl tlalli; teo-iztac-quilitl; teo-iztacuilitl,Iztac/white; Quilitl/edible green; Teo/divine
ID042,Izqui-xochitl,plant,08l; 09d; 09f,p069_09,,Xochitl/flower
ID043,Tlaco-izqui-xochitl,plant,05e; 08d; 08l,,,Tlaco/half or middle; Xochitl/flower
ID044,Quauh-izqui-xochitl,plant,09c,,,Quahuitl/tree or wood; Xochitl/flower
