ID,english_cluster,spanish_cluster
ID001,4,2
ID003,5,3
ID004,1,3
ID005,1,3
ID006,0,0
ID007,2,4
ID009,1,3
ID012,1,3
ID014,1,3
ID015,1,3
ID016,1,3
ID017,0,0
ID018,0,0
ID019,5,3
ID021,0,0
ID022,1,3
ID023,0,0
ID024,0,0
ID025,1,3
ID028,5,0
ID030,0,0
ID031,1,3
ID032,1,3
ID036,1,3
ID037,0,0
ID039,1,3
ID041,2,4
ID042,0,0
ID043,0,0
ID044,1,3
ID045,5,5
ID047,0,0
ID048,1,1
ID049,2,4
ID051,0,0
ID052,1,3
ID054,5,2
ID055,1,3
ID056,5,0
ID057,1,3
ID058,1,3
ID060,0,0
ID061,1,5
ID062,5,3
ID064,1,3
ID066,1,3
ID068,2,4
ID069,4,2
ID070,1,3
ID071,1,5
ID072,1,3
ID074,4,2
ID076,1,1
ID077,1,1
ID078,1,3
ID079,1,3
ID081,1,2
ID082,1,3
ID083,4,2
ID084,1,3
ID085,5,2
ID087,1,3
ID088,1,3
ID090,1,3
ID091,1,3
ID092,1,5
ID093,1,3
ID094,0,1
ID096,1,1
ID097,1,3
ID099,0,0
ID100,1,3
ID101,1,3
ID103,4,2
ID104,1,3
ID105,1,2
ID106,1,1
ID107,1,3
ID108,1,3
ID109,2,4
ID110,1,1
ID112,1,5
ID113,0,0
ID116,1,3
ID117,1,2
ID118,1,1
ID121,5,3
ID122,3,3
ID123,1,3
ID124,1,3
ID126,1,3
ID127,1,3
ID128,5,3
ID129,3,3
ID130,1,3
ID131,5,5
ID132,1,3
ID133,5,5
ID134,1,3
ID135,1,3
ID139,1,5
ID140,3,3
ID141,1,3
ID143,1,3
ID145,1,3
ID147,1,5
ID148,5,3
ID149,5,3
ID150,1,3
ID154,3,3
ID155,1,3
ID157,1,3
ID160,5,4
ID163,4,2
ID164,1,1
ID165,1,1
ID166,3,3
ID167,1,3
ID168,3,3
ID170,1,3
ID171,1,3
ID172,2,4
ID173,1,3
ID176,4,2
ID178,5,5
ID179,1,5
ID180,4,2
ID181,0,0
ID182,1,3
ID185,1,3
ID187,1,3
ID189,1,3
ID190,4,2
ID192,1,3
ID193,1,3
ID194,1,1
ID195,1,3
ID196,1,3
ID198,1,5
ID200,5,2
ID202,1,5
ID203,1,5
ID204,1,3
ID205,1,3
ID207,1,3
ID208,1,3
ID209,2,4
ID211,1,3
ID212,0,0
ID213,1,5
ID214,1,3
ID215,1,5
ID217,5,3
ID220,1,5
ID221,2,4
ID222,2,4
ID224,1,3
ID225,1,3
ID226,4,2
ID227,1,3
ID229,3,3
ID233,5,3
ID234,2,4
ID235,1,3
ID236,1,3
ID237,1,3
ID240,4,2
ID241,4,2
ID242,5,3
ID243,1,5
ID245,1,3
ID246,3,3
ID247,1,3
ID250,1,3
ID252,1,5
ID253,1,3
ID254,2,4
ID255,1,3
ID256,1,3
ID257,2,4
ID258,1,3
ID259,1,3
ID260,5,3
ID261,1,3
ID263,2,4
ID264,5,3
ID265,1,2
ID266,5,0
ID267,1,3
ID268,5,3
ID269,1,3
ID270,1,3
ID271,1,3
ID272,5,1
ID273,1,1
ID274,1,1
ID276,1,3
ID277,1,3
ID278,5,3
ID279,4,2
ID280,1,3
ID281,2,4
ID282,1,1
ID283,5,5
ID284,1,3
ID285,5,3
ID286,0,0
ID287,0,0
ID288,0,0
ID289,0,0
ID290,0,0
ID291,2,0
ID292,2,0
ID293,0,0
ID294,0,0
ID295,2,4
ID296,2,4
ID297,2,4
ID298,2,4
ID299,2,4
ID300,2,4
ID301,2,4
ID302,2,4
ID303,2,4
ID304,2,4
ID305,4,2
ID306,4,2
ID307,4,2
ID309,1,3
ID310,1,3
