ID,official_name,subchapter_code_expected,language_checked,reason_for_absence,synonyms_expected
ID002,Acatl,nan,english,subchapter_file_not_found,nan
ID002,Acatl,nan,spanish,subchapter_file_not_found,nan
ID020,A-yecotli,nan,english,subchapter_file_not_found,nan
ID020,A-yecotli,nan,spanish,subchapter_file_not_found,nan
ID026,A-zaca-tzontli,nan,english,subchapter_file_not_found,nan
ID026,A-zaca-tzontli,nan,spanish,subchapter_file_not_found,nan
ID033,Ez-patli,nan,english,subchapter_file_not_found,nan
ID033,Ez-patli,nan,spanish,subchapter_file_not_found,nan
ID035,Teo-ezquahuitl,nan,english,subchapter_file_not_found,teo-ez-quahuitl
ID035,Teo-ezquahuitl,nan,spanish,subchapter_file_not_found,teo-ez-quahuitl
ID040,Iztac-quahuitl,nan,english,subchapter_file_not_found,iztac quahuitl
ID040,Iztac-quahuitl,nan,spanish,subchapter_file_not_found,iztac quahuitl
ID053,Te-xochitl yamanqui,nan,english,subchapter_file_not_found,nan
ID053,Te-xochitl yamanqui,nan,spanish,subchapter_file_not_found,nan
ID067,Cecen-tlacol,nan,english,subchapter_file_not_found,cecen tlacol
ID067,Cecen-tlacol,nan,spanish,subchapter_file_not_found,cecen tlacol
ID075,Cohua-xocotl,nan,english,subchapter_file_not_found,coa-xocotl
ID075,Cohua-xocotl,nan,spanish,subchapter_file_not_found,coa-xocotl
ID086,Coz-canantzi,nan,english,subchapter_file_not_found,nan
ID086,Coz-canantzi,nan,spanish,subchapter_file_not_found,nan
ID089,Chichic texcal-amatl,nan,english,subchapter_file_not_found,nan
ID089,Chichic texcal-amatl,nan,spanish,subchapter_file_not_found,nan
ID098,Huetzcani xochitl,nan,english,subchapter_file_not_found,nan
ID098,Huetzcani xochitl,nan,spanish,subchapter_file_not_found,nan
ID114,Memeya xiuhtontli,nan,english,subchapter_file_not_found,memeya xihuitl
ID114,Memeya xiuhtontli,nan,spanish,subchapter_file_not_found,memeya xihuitl
ID115,Metzli-yzacauh,nan,english,subchapter_file_not_found,metzli yzacauh
ID115,Metzli-yzacauh,nan,spanish,subchapter_file_not_found,metzli yzacauh
ID119,Mocuepani-xochitl,nan,english,subchapter_file_not_found,mocuepani xochitl
ID119,Mocuepani-xochitl,nan,spanish,subchapter_file_not_found,mocuepani xochitl
ID120,Necouh xochitl,nan,english,subchapter_file_not_found,nan
ID120,Necouh xochitl,nan,spanish,subchapter_file_not_found,nan
ID125,Tlaloc-nochtli,nan,english,subchapter_file_not_found,nan
ID125,Tlaloc-nochtli,nan,spanish,subchapter_file_not_found,nan
ID137,Quauh-huitzihtzil-xochitl,nan,english,subchapter_file_not_found,quah-huitzihtzil xochitl
ID137,Quauh-huitzihtzil-xochitl,nan,spanish,subchapter_file_not_found,quah-huitzihtzil xochitl
ID142,Quauhtla xoxocoyolin,nan,english,subchapter_file_not_found,nan
ID142,Quauhtla xoxocoyolin,nan,spanish,subchapter_file_not_found,nan
ID152,Temahuitztih-quahuitl,nan,english,subchapter_file_not_found,temahuiztih quahuitl
ID152,Temahuitztih-quahuitl,nan,spanish,subchapter_file_not_found,temahuiztih quahuitl
ID158,Te-papa-quilti-quahuitl,nan,english,subchapter_file_not_found,te-papaquilti quahuitl
ID158,Te-papa-quilti-quahuitl,nan,spanish,subchapter_file_not_found,te-papaquilti quahuitl
ID159,Tepa-quilti xiuhtontli,nan,english,subchapter_file_not_found,tepaquilti xiuhtontli
ID159,Tepa-quilti xiuhtontli,nan,spanish,subchapter_file_not_found,tepaquilti xiuhtontli
ID161,Tepe-papalo-quilitl,nan,english,subchapter_file_not_found,tepe-papalo quilitl
ID161,Tepe-papalo-quilitl,nan,spanish,subchapter_file_not_found,tepe-papalo quilitl
ID174,Texcal-ama-coztli,nan,english,subchapter_file_not_found,texcalama-coztli
ID174,Texcal-ama-coztli,nan,spanish,subchapter_file_not_found,texcalama-coztli
ID177,Tohmiyo-xihuitl,nan,english,subchapter_file_not_found,tohmiyo xihuitl
ID177,Tohmiyo-xihuitl,nan,spanish,subchapter_file_not_found,tohmiyo xihuitl
ID183,Tonal-xochitl,nan,english,subchapter_file_not_found,tonal xochitl
ID183,Tonal-xochitl,nan,spanish,subchapter_file_not_found,tonal xochitl
ID184,Xiuhuitl tonalco-mochiva hahuachcho,nan,english,subchapter_file_not_found,nan
ID184,Xiuhuitl tonalco-mochiva hahuachcho,nan,spanish,subchapter_file_not_found,nan
ID186,Totonqui xochitl,nan,english,subchapter_file_not_found,nan
ID186,Totonqui xochitl,nan,spanish,subchapter_file_not_found,nan
ID188,Totec-yxiuh,nan,english,subchapter_file_not_found,nan
ID188,Totec-yxiuh,nan,spanish,subchapter_file_not_found,nan
ID197,Tla-cuilol-quahuitl,nan,english,subchapter_file_not_found,tlah-cuilol quahuitl
ID197,Tla-cuilol-quahuitl,nan,spanish,subchapter_file_not_found,tlah-cuilol quahuitl
ID228,A-tzitzicaztli,nan,english,subchapter_file_not_found,nan
ID228,A-tzitzicaztli,nan,spanish,subchapter_file_not_found,nan
ID238,Tzotzoca-xihuitl,nan,english,subchapter_file_not_found,tzotzoca xihuitl
ID238,Tzotzoca-xihuitl,nan,spanish,subchapter_file_not_found,tzotzoca xihuitl
ID248,Xomalin,nan,english,subchapter_file_not_found,nan
ID248,Xomalin,nan,spanish,subchapter_file_not_found,nan
ID251,Quauhtla xoxocoyolin,nan,english,subchapter_file_not_found,quauhtla-xoxocoyolin
ID251,Quauhtla xoxocoyolin,nan,spanish,subchapter_file_not_found,quauhtla-xoxocoyolin
ID262,Xococ quahuitl,nan,english,subchapter_file_not_found,nan
ID262,Xococ quahuitl,nan,spanish,subchapter_file_not_found,nan
