ID,official_name,type,illustrations,morphemes_raw_string,aggregated_english_text,aggregated_spanish_text,all_nahuatl_terms
ID001,Aca-capac-quilitl,plant,p079_01,Acatl/reed; Quilitl/edible green,excessive heat body overheated relieved ground roots iztac huitzquahuitl huitzquahuitlacacapacquilitl xaltomatlxaltomatltomatl tlacacamotli teoezquahuitliztaquilitl stone acamalloacamallotetl v v eztetl tlacalhuatzin red earth white earth stones found stomachs cock nochmolotototl sharp stones put water drunk abdomen purged clyster potion also prepared tzayanalacacapacquilitl roots acacapacacacapacquilitl tolpatlactli bushes tetzmitl iztauyattl iztac huitzquahuitl huitzquahuitlacacapacquilitl added salt body anointed latex squeezed acacapacacacapacquilitl coyoacocoxihuitl tlalcacapolecapatli tonatiuh yxiuh v yxiuh v iztac huitzquahuitl ocoeloxochitl centzonxochitlocoeloxochitl herbs also using leaves laurel bush tetzmitl fruit trees xaatoyaxocotl plant cohuaeloxochitl leaves pine medicine divided poured head quite thick applied ointment body heat rises take blood huitzitzilin gall huexocanauhtli viscera quail bladder cocotli skin pezotli burned together mixed together,calor excesivo cuerpo sobrecalentado alivia raíces molidas iztac huitzquahuitl huitzquahuitlacacapacquilitl xaltomatlxaltomatltomatl tlacacamotli teoezquahuitliztaquilitl piedra acamalloacamallotetl v v eztetl tlacalhuatzin tierra roja tierra blanca piedras encontradas estómagos gallo nochmolotototl piedras filosas pone agua bebe preparación abdomen purga enema prepara poción raíces tzayanalacacapacquilitl acacapacacacapacquilitl tolpatlactli arbustos tetzmitl iztauyattl iztac huitzquahuitl huitzquahuitlacacapacquilitl sal añadida cuerpo unta látex exprimido acacapacacacapacquilitl coyoacocoxihuitl tlalcacapolecapatli tonatiuh yxiuh v yxiuh v iztac huitzquahuitl ocoeloxochitl centzonxochitlocoeloxochitl hierbas usan hojas laurel arbusto tetzmitl árboles frutales xaatoyaxocotl planta cohuaeloxochitl hojas pino medicina divide parte vierte cabeza espesa aplica ungüento cuerpo si calor aumenta toma sangre huitzitzilin bilis huexocanauhtli vísceras codorniz vejiga cocotli piel pezotli quemado junto anteriores mezclan,aca-capac-quilitl acacapac-quilitl acatl quilitl
ID003,A-chilli,plant,p065_02,Atl/water; Chilli/chile,lesions feet cut feet prepare herbs tlalcacapolecapatli coyoacocoxihuitl iztauyattl tepeylinchian aachilli ecaecapatli quauhyyyauhtli quetzalylinxoxoucaecapatli quetzalylinxoxouhcaecapatli tzotzotlani flower cacauaeloxochitl piltzintecouheloxochitl leaves ecaecapatli itzquinecapatli stones tlacalhuatzin eztetl tetlahuitl v pale colored earth divide three parts put basin coals fire may heat water put feet hot water basin let fire placed feet lower somewhat may fall onto feet wrapped cloth following day put ointment called xochiocotzotl white frankincense fire feet may improve odor heat also let seeds herb called xeacocoxihuitl ground put pulverized hot water apply feet third apply herb tolohua xihuitl acocoxihuitl brambles ground hot water,lesiones pies pies cortados prepara hierbas tlalcacapolecapatli coyoacocoxihuitl iztauyattl tepeylinchian aachilli ecaecapatli quauhyyyauhtli quetzalylinxoxoucaecapatli quetzalylinxoxouhcaecapatli tzotzotlani flor cacauaeloxochitl piltzintecouheloxochitl hojas ecaecapatli itzquinecapatli piedras tlacalhuatzin eztetl tetlahuitl v tierra color pálido luego divide tres partes parte pone vasija brasas fuego calentarla agua meten pies agua caliente fuego bajo pies debe bajarse queme pies envuelven paño día siguiente pone ungüento llamado xochiocotzotl incienso blanco fuego pies mejoren olor calor muelen semillas hierba llamada xeacocoxihuitl agregan pulverizadas agua caliente aplicarlas pies tercer lugar aplican hierba tolohua xihuitl acocoxihuitl zarzas molidas agua caliente,a-chilli atl chilli
ID004,Acoco-xihuitl,plant,p094_02,"Atl/water; Xihuitl/herbs, green leaves",epilepsy recently aroused serve small stones found hawks stomach bird huactli cock root quetzalylinatzonyatl deers horn whitish also white incense hair corpse incinerated flesh mole shut jar well ground hot water let man affected drink liquor may vomit well drink crushed root bush called tlatlacotic observe time epilepsy come epileptic instantly raised cartilage sides punctured arising let drink camnum gall time head given poultice made quetzalylinatzonyatl texochitl yamanquitzitzilin leaves herb bush acocoacocoxihuitl ground water let eat brain wolf weasel boiled also fumigation odor mouses nest consumed coals whitish incense feathers vulture,epilepsia presentado recientemente servirán piedrecillas hallan estómago halcón ave huactli gallo raíz quetzalylinatzonyatl cuerno venado incienso blanquecino blanco cabello cadáver carne incinerada topo encerrada frasco debe molerse bien agua caliente afectado beba licor vomite conviene beber raíz machacada arbusto llamado tlatlacotic observar momento va presentar epilepsia pues instante debe levantar epiléptico inmediato punzarle cartílago costados levantarse debe beber hiel camnum mismo tiempo aplica cabeza emplasto hecho hojas quetzalylinatzonyatl texochitl yamanquitzitzilin hierba arbusto acocoacocoxihuitl molido agua coma cerebro lobo comadreja hervidos hace fumigación olor nido ratón quemado brasas incienso blanquecino plumas buitre,acoco-xihuitl atl xihuitl
ID005,Acxoyatl,plant,p095_02,Acatl/reed,cure one harassed tornado evil wind one caught tornado let drink healthful liquor plant quauhyayahual acxoyatl pine laurel leaves crushed water broth boiled drunk thus drunk expels evil air entering within second take liquor stones red crystal white pearl white earth ground water leaves plant tlatlanquaye boiling incense anoint cypress cedar nuts leaves plant quauhyyyauhtli plant ecaecapatli ground water incense liquor carefully prepared,remedio sido hostigado torbellino viento maligno sido atrapado torbellino beba licor saludable planta quauhyayahual acxoyatl hojas pino laurel machacadas agua cocimiento debe hervirse beberse así beberlo expulsa aire maligno entrado segundo lugar tomar licor piedras cristal rojo perla blanca tierra blanca molidas agua hojas planta tlatlanquaye hirviendo incienso debe untar nueces ciprés cedro hojas planta quauhyyyauhtli planta ecaecapatli todas molidas agua incienso licor cuidadosamente preparado,acatl acxoyatl
ID006,Ahuatl,plant,p088_03,nan,trees flowers relieving fatigue administering government discharging public offices bark tree quetzalylinylin flowers eloeloxochitl izquieloxochitl almond fruit tlapolcacahuatl flowers cacaloeloxochitl huacaleloxochitl mecaeloxochitl hueynacaztli fine smelling summer flowers leaves trees aillin oyametl ocotl aatoyaxocotl ecaecapatli tlacoizquixochitlizquieloxochitl quauhyyyauhtli tomazquitl ahuatl tepeylinylin ayauhquahuitlaquahuitl texochitl yamanquipapaquiltiaquahuitl flower bearing plants shrubbery gather wind rises expressed one one clear spring water new vessels vases stays day night iztac huitzquahuitl huitzquahuitlaquahuitl wood red juice added coloring also blood wild animals namely red ocelot cuetlachtli miztli ocotochtli white ocelot tlacoizquixochitlocelotl sought liquors body well anointed second precious stones quetzalylinquetzaliztli eztetl tlacalhuatzin tetlahuitl v red earth small stones stomachs birds huexocanauhtli huactli apopotli cast water stay night order healthful juice may drawn body frequently bathed third brain gall animals red ocelot white ocelot cuetlachtli miztli ocotochtli coyoxihuitl also brain gall bladder white epatl ground body moistened medicaments healthily give gladiatorial strength body drive fatigue far also cast timidity strengthen human heart rest let whoever wishes follow reinvigoration body eat things also chief value flesh white rabbit white fox either baked boiled,árboles flores aliviar cansancio gobiernan desempeñan cargos públicos corteza árbol quetzalylinylin flores eloeloxochitl izquieloxochitl almendra fruto llamado tlapolcacahuatl flores cacaloeloxochitl huacaleloxochitl mecaeloxochitl hueynacaztli todas flores veraniegas buen aroma hojas árboles aillin oyametl ocotl aatoyaxocotl ecaecapatli tlacoizquixochitlizquieloxochitl quauhyyyauhtli tomazquitl ahuatl tepeylinylin ayauhquahuitlaquahuitl texochitl yamanquipapaquiltiaquahuitl plantas flores follaje recogen sople viento exprime agua clara manantial recipientes nuevos deja reposar día noche luego añade madera iztac huitzquahuitl huitzquahuitlaquahuitl jugo rojo colorante busca sangre animales salvajes ocelote rojo cuetlachtli miztli ocotochtli ocelote blanco tlacoizquixochitlocelotl licores anteriores unta bien cuerpo segundo lugar echan agua piedras preciosas quetzalylinquetzaliztli eztetl tlacalhuatzin tetlahuitl v tierra roja piedras pequeñas halladas estómagos aves huexocanauhtli huactli apopotli dejan allí noche suelten jugo saludable debe bañarse frecuentemente cuerpo tercer lugar trituran cerebro bilis animales ocelote rojo ocelote blanco cuetlachtli miztli ocotochtli coyoxihuitl así cerebro bilis vejiga epatl blanco humedece cuerpo remedios dan saludablemente fuerza gladiatoria cuerpo alejan cansancio expulsan timidez fortalecen corazón humano además desee seguir fortalecimiento cuerpo puede comer cosas valioso considera carne conejo blanco zorro blanco asada hervida,ahuatl nan
ID007,Ahquiztli,plant,p074_02,nan,fevers face marking fevers various changes times flushed times darkened blanched also spits blood body jerks turns hither thither sees little times bitterness burning sweetness kind fills mouth rather palate one certain stomach corrupted although urine whitish unless avert danger quickly medicine prepared late wherefore help wonderfully macerate plants centzonxochitleloxochitl teoezquahuitliztaquilitl ahquiztli tlanextiayxiuh acocoxihuitl cuauhtla huitaacacapacquilitl tonatiuh yxiuh v yxiuh v tlazolecapatliteoezquahuitlazacatzontli mamaxtlanelhuatl ocoeloxochitl zacamatlalin bush tlanextiayxiuh aquahuitl stones find stomachs birds huitlalotl huactli aztatl apopotli tlacahuilotl huexocanauhtli xiuhxiuhquecholmolotototl molotototl tlapalmolotototl nochmolotototl acatzanatl zolin precious stones fine green pearl greenstone sardonyx xiuhtomolli burned human bone liquor heated quickly drunk potion prepared stone texalli ground water part liquor poured head feet bathed part throat moistened part also let drink plants crushed bitter water ecaecapatli tetzmitl ocoeloxochitl centzonxochitleloxochitl tepeylinchian azacatzontlipachtzin iztac huitzquahuitl ocoeloxochitl tonatiuh yxiuh v yxiuh v gathered fervent heat sun adding willow laurel human bone wet liquor tooth corpse placed crown head plants tecoxochitiacocoxihuitl tlazolecapatliecapatli crushed womans milk occuput nostrils anointed done take heed smell flower kind sleep day,fiebres rostro presentan fiebre cambia muchas formas veces enrojecido veces oscuro pálido escupe sangre cuerpo da sacudidas retuerce ve veces llena boca bien paladar amargor ardor tipo dulzura ciertamente sufre estómago corrompido aunque orina blanquecina si evita peligro rápidamente medicina preparará demasiado tarde ayudarás maravillosamente si maceras plantas centzonxochitleloxochitl teoezquahuitliztaquilitl ahquiztli tlanextiayxiuh acocoxihuitl cuauhtla huitaacacapacquilitl tonatiuh yxiuh v yxiuh v tlazolecapatliteoezquahuitlazacatzontli mamaxtlanelhuatl ocoeloxochitl zacamatlalin arbusto tlanextiayxiuh aquahuitl piedras encuentran estómagos aves huitlalotl huactli aztatl apopotli tlacahuilotl huexocanauhtli xiuhxiuhquecholmolotototl molotototl tlapalmolotototl nochmolotototl acatzanatl zolin piedras preciosas perla verde fina piedra verde sardónice xiuhtomolli junto hueso humano quemado calienta rápidamente licor luego debe beberse preparado brebaje muele piedra texalli agua vierte parte licor cabeza bañan pies parte humedece garganta porción debe beber luego deben machacarse agua amarga plantas ecaecapatli tetzmitl ocoeloxochitl centzonxochitleloxochitl tepeylinchian azacatzontlipachtzin iztac huitzquahuitl ocoeloxochitl tonatiuh yxiuh v yxiuh v todas recolectadas bajo calor intenso sol añadiendo sauce laurel hueso humano moja licor coloca diente cadáver coronilla plantas tecoxochitiacocoxihuitl tlazolecapatliecapatli trituran leche mujer ungen occipucio fosas nasales después cuídese huela alguna flor duerma día,a-quiztli ahquiztli nan
ID009,Ahuiyac-xihuitl,plant,p107_01,"Xihuitl/herbs, green leaves",lassitude one fatigued restored feet bathed choice liquor ahuiyacacocoxihuitl tlatlanquaye tlatlaolton itzquinecapatli ecaecapatli iztauyattl huitzihtzileloxochitleloxochitl flower stones tetlahuitl v tlacalhuatzin eztetl crushed hot water menstrual blood flow blood dried restricted poultice shall make salt ashes deer frog white egg hairs hare roots ahuiyacacocoxihuitl willow oak acorns papyrus burned deers horn stone eztetl pure gold iron scrapings strained river water liquor infused flow blood heavy take amputate head lizard extract viscera hang cold place dries burn let anointed ashes mixed indian wine white honey,cansancio fatigado restaurará si bañan pies licor escogido ahuiyacacocoxihuitl tlatlanquaye tlatlaolton itzquinecapatli ecaecapatli iztauyattl flor huitzihtzileloxochitleloxochitl piedras tetlahuitl v tlacalhuatzin eztetl triturado agua caliente sangrado menstrual flujo sangre seca restringe emplasto debe hacer sal cenizas venado rana clara huevo pelos liebre raíces ahuiyacacocoxihuitl sauce bellotas encina papiro quemado cuerno venado piedra eztetl oro puro limaduras hierro debe colarse agua río licor aplicarse flujo sangre abundante debe cortar cabeza lagartija extraerle vísceras colgarla lugar frío seque luego quema unta mujer cenizas mezcladas vino indígena miel blanca,ahuiyac-xihuitl xihuitl
ID012,Xiuh-amolli,plant,p011_01,"Xihuitl/herbs, green leaves",coming hair loss hair stopped lotion dogs deers urine plant called xiuhamolli boiled reeds avatavattecolotl animalcula,caída cabello caída cabello detiene loción orina perro venado hervida planta llamada xiuhamolli junto cañas animalito avatavattecolotl,xihuitl xiuh-amolli
ID014,A-quahuitl,plant,,Atl/water; Quahuitl/tree or wood,face scabs freckles heal scabby face take juice crushed tlalcacapolquequetzal aaquahuitl ecaecapatli water acid savor adding pigeons excrement wash ringworm tetter one laboring scaly disease let ground together set coals bark cherry incense bearing quauhquauhxiyotl tree apple flowers topozan cacaloeloxochitl oak roots cypress nuts leaves plants tlatlanquaye quauhyayahual herbs tepeylinchian coyoacocoxihuitl aaquahuitl cedar nuts leaves heated let bathe affected part rubbed burned pine let rubbed skin eruptions patient first part affected bathed urine let plaster applied made tlaquilin shoots tlatlanquaye quetzalylinylin tree bark leaves aaquahuitl crushed water,costras pecas cara curar cara costras toma jugo tlalcacapolquequetzal aaquahuitl ecaecapatli machacados agua sabor ácido añadiendo excremento paloma lavado tiña sarna sufre enfermedad escamosa deben moler juntos poner brasas corteza cerezo árbol quauhquauhxiyotl produce incienso manzano flores topozan cacaloeloxochitl raíces roble nueces ciprés hojas plantas tlatlanquaye quauhyayahual hierbas tepeylinchian coyoacocoxihuitl aaquahuitl nueces hojas cedro vez caliente debe bañarse parte afectada frotarse pino quemado anterior debe ser frotado erupciones cutáneas paciente debe primero tener parte afectada bañada orina luego debe aplicar emplasto hecho brotes tlaquilin tlatlanquaye árbol quetzalylinylin corteza hojas aaquahuitl triturados agua,a-quahuitl atl quahuitl
ID015,A-toch-ietl,plant,p024_02,Atl/water,catarrh one running nose cold helped smelling plants atochietl azacatzontlipilihuizacocoxihuitl catarrh thus cured,catarro sufre secreción nasal resfriado beneficiará oliendo plantas atochietl azacatzontlipilihuizacocoxihuitl así cura catarro,a-toch-ietl atl
ID016,Atoya-xocotl,plant,,Atl/water; Xocotl/sour fruit,scurf headscald head washed urine roots iztac huitzquahuitl huitzquahuitlacacapacquilitl tezonecapatli tequammaitl tetzmieloxochitl ground bark copalaquahuitl atoyaatoyaxocotl applied head travelers protection dried flowers mecaeloxochitl tlileloxochitl hueynacaztli bark trees copalatoyaxocotl atoyaatoyaxocotl leaves aatoyaxocotl tree white incense salve xochiocotzotl yolloeloxochitl thus crushed pulverized crushed placed within cavity wellknown fragrant huacaleloxochitl flower may receive redolent odor flower breathe take end highly praised flower yolloeloxochitl must nicely hollow therein cover health bearing fine powder suspending capsule neck,tiña escaldadura cabeza debe lavar cabeza orina luego aplican cabeza raíces iztac huitzquahuitl huitzquahuitlacacapacquilitl tezonecapatli tequammaitl tetzmieloxochitl molidas corteza copalaquahuitl atoyaatoyaxocotl protección viajero flores secas mecaeloxochitl tlileloxochitl hueynacaztli corteza árboles copalatoyaxocotl atoyaatoyaxocotl hojas árbol aatoyaxocotl incienso blanco ungüento xochiocotzotl yolloeloxochitl triturado pulverizado luego coloca dentro cavidad conocida fragante flor huacaleloxochitl absorban olor intensamente perfumado exhalen después toma final apreciada flor yolloeloxochitl debe ahuecar cuidado allí encierra fino polvo saludable suspendiendo cápsula cuello,atl atoya-xocotl xocotl
ID017,A-xocotl,plant,,Atl/water; Xocotl/sour fruit,trees flowers relieving fatigue administering government discharging public offices bark tree quetzalylinylin flowers eloeloxochitl izquieloxochitl almond fruit tlapolcacahuatl flowers cacaloeloxochitl huacaleloxochitl mecaeloxochitl hueynacaztli fine smelling summer flowers leaves trees aillin oyametl ocotl aatoyaxocotl ecaecapatli tlacoizquixochitlizquieloxochitl quauhyyyauhtli tomazquitl ahuatl tepeylinylin ayauhquahuitlaquahuitl texochitl yamanquipapaquiltiaquahuitl flower bearing plants shrubbery gather wind rises expressed one one clear spring water new vessels vases stays day night iztac huitzquahuitl huitzquahuitlaquahuitl wood red juice added coloring also blood wild animals namely red ocelot cuetlachtli miztli ocotochtli white ocelot tlacoizquixochitlocelotl sought liquors body well anointed second precious stones quetzalylinquetzaliztli eztetl tlacalhuatzin tetlahuitl v red earth small stones stomachs birds huexocanauhtli huactli apopotli cast water stay night order healthful juice may drawn body frequently bathed third brain gall animals red ocelot white ocelot cuetlachtli miztli ocotochtli coyoxihuitl also brain gall bladder white epatl ground body moistened medicaments healthily give gladiatorial strength body drive fatigue far also cast timidity strengthen human heart rest let whoever wishes follow reinvigoration body eat things also chief value flesh white rabbit white fox either baked boiled remedy lesions body lesions caused rough treatment treated poultice made tlazolecapatliteoezquahuitlazacatzontli centzonxochitleloxochitl xiuhtontli aatoyaxocotl tlacuilolquahuitlyapaloni xiuhtontli moss tree cypress nuts seeds nettle tree ayauhquahuitlaquahuitl let illtreated one drink broth carefully prepared root coanenepilli tlanextiayxiuh acocoxihuitl chicomacacapacquilitl flower aatoyaxocotl izquieloxochitl tetlahuitl v v eztetl texochitl yamanquiamoxtli blood aquatic bird huexocanauhtli tlatlanquaye leaves ground acidulous water travelers protection dried flowers mecaeloxochitl tlileloxochitl hueynacaztli bark trees copalatoyaxocotl atoyaatoyaxocotl leaves aatoyaxocotl tree white incense salve xochiocotzotl yolloeloxochitl thus crushed pulverized crushed placed within cavity wellknown fragrant huacaleloxochitl flower may receive redolent odor flower breathe take end highly praised flower yolloeloxochitl must nicely hollow therein cover health bearing fine powder suspending capsule neck,árboles flores aliviar cansancio gobiernan desempeñan cargos públicos corteza árbol quetzalylinylin flores eloeloxochitl izquieloxochitl almendra fruto llamado tlapolcacahuatl flores cacaloeloxochitl huacaleloxochitl mecaeloxochitl hueynacaztli todas flores veraniegas buen aroma hojas árboles aillin oyametl ocotl aatoyaxocotl ecaecapatli tlacoizquixochitlizquieloxochitl quauhyyyauhtli tomazquitl ahuatl tepeylinylin ayauhquahuitlaquahuitl texochitl yamanquipapaquiltiaquahuitl plantas flores follaje recogen sople viento exprime agua clara manantial recipientes nuevos deja reposar día noche luego añade madera iztac huitzquahuitl huitzquahuitlaquahuitl jugo rojo colorante busca sangre animales salvajes ocelote rojo cuetlachtli miztli ocotochtli ocelote blanco tlacoizquixochitlocelotl licores anteriores unta bien cuerpo segundo lugar echan agua piedras preciosas quetzalylinquetzaliztli eztetl tlacalhuatzin tetlahuitl v tierra roja piedras pequeñas halladas estómagos aves huexocanauhtli huactli apopotli dejan allí noche suelten jugo saludable debe bañarse frecuentemente cuerpo tercer lugar trituran cerebro bilis animales ocelote rojo ocelote blanco cuetlachtli miztli ocotochtli coyoxihuitl así cerebro bilis vejiga epatl blanco humedece cuerpo remedios dan saludablemente fuerza gladiatoria cuerpo alejan cansancio expulsan timidez fortalecen corazón humano además desee seguir fortalecimiento cuerpo puede comer cosas valioso considera carne conejo blanco zorro blanco asada hervida remedio lesiones cuerpo lesiones causadas trato rudo deben tratarse cataplasma hecha tlazolecapatliteoezquahuitlazacatzontli centzonxochitleloxochitl xiuhtontli aatoyaxocotl tlacuilolquahuitlyapaloni xiuhtontli musgo algún árbol nueces ciprés semillas ortiga árbol ayauhquahuitlaquahuitl maltratado debe beber caldo preparado cuidadosamente raíz coanenepilli tlanextiayxiuh acocoxihuitl chicomacacapacquilitl flor aatoyaxocotl izquieloxochitl tetlahuitl v v eztetl texochitl yamanquiamoxtli sangre ave acuática huexocanauhtli hojas tlatlanquaye molido agua acidulada protección viajero flores secas mecaeloxochitl tlileloxochitl hueynacaztli corteza árboles copalatoyaxocotl atoyaatoyaxocotl hojas árbol aatoyaxocotl incienso blanco ungüento xochiocotzotl yolloeloxochitl triturado pulverizado luego coloca dentro cavidad conocida fragante flor huacaleloxochitl absorban olor intensamente perfumado exhalen después toma final apreciada flor yolloeloxochitl debe ahuecar cuidado allí encierra fino polvo saludable suspendiendo cápsula cuello,a-xocotl atl xocotl
