ID,official_name,type,subchapter_code,language,synonym_found,morphemes,illustrations,master_sheet_subchapters_linked
ID001,Aca-capac-quilitl,plant,09e,english,acacapac-quilitl,Acatl/reed; Quilitl/edible green,p079_01,09e
ID001,Aca-capac-quilitl,plant,09e,spanish,acacapac-quilitl,Acatl/reed; Quilitl/edible green,p079_01,09e
ID003,A-chilli,plant,08j,english,a-chilli,Atl/water; Chilli/chile,p065_02,08j
ID003,A-chilli,plant,08j,spanish,a-chilli,Atl/water; Chilli/chile,p065_02,08j
ID004,Acoco-xihuitl,plant,10a,english,acoco-xihuitl,"Atl/water; Xihuitl/herbs, green leaves",p094_02,10a
ID004,Acoco-xihuitl,plant,10a,spanish,acoco-xihuitl,"Atl/water; Xihuitl/herbs, green leaves",p094_02,10a
ID005,Acxoyatl,plant,10b,english,acxoyatl,Acatl/reed,p095_02,10b
ID005,Acxoyatl,plant,10b,spanish,acxoyatl,Acatl/reed,p095_02,10b
ID006,Ahuatl,plant,08l,english,ahuatl,nan,p088_03,08l
ID006,Ahuatl,plant,08l,spanish,ahuatl,nan,p088_03,08l
ID007,Ahquiztli,plant,09b,english,a-quiztli,nan,p074_02,09b
ID007,Ahquiztli,plant,09b,spanish,a-quiztli,nan,p074_02,09b
ID009,Ahuiyac-xihuitl,plant,08k,english,ahuiyac-xihuitl,"Xihuitl/herbs, green leaves",p107_01,08k; 11b
ID009,Ahuiyac-xihuitl,plant,08k,spanish,ahuiyac-xihuitl,"Xihuitl/herbs, green leaves",p107_01,08k; 11b
ID009,Ahuiyac-xihuitl,plant,11b,english,ahuiyac-xihuitl,"Xihuitl/herbs, green leaves",p107_01,08k; 11b
ID009,Ahuiyac-xihuitl,plant,11b,spanish,ahuiyac-xihuitl,"Xihuitl/herbs, green leaves",p107_01,08k; 11b
ID012,Xiuh-amolli,plant,01e,english,xiuh-amolli,"Xihuitl/herbs, green leaves",p011_01,01e
ID012,Xiuh-amolli,plant,01e,spanish,xiuh-amolli,"Xihuitl/herbs, green leaves",p011_01,01e
ID014,A-quahuitl,plant,06d,english,a-quahuitl,Atl/water; Quahuitl/tree or wood,nan,06d; 09g; 09i
ID014,A-quahuitl,plant,06d,spanish,a-quahuitl,Atl/water; Quahuitl/tree or wood,nan,06d; 09g; 09i
ID014,A-quahuitl,plant,09g,english,a-quahuitl,Atl/water; Quahuitl/tree or wood,nan,06d; 09g; 09i
ID014,A-quahuitl,plant,09g,spanish,a-quahuitl,Atl/water; Quahuitl/tree or wood,nan,06d; 09g; 09i
ID014,A-quahuitl,plant,09i,english,a-quahuitl,Atl/water; Quahuitl/tree or wood,nan,06d; 09g; 09i
ID014,A-quahuitl,plant,09i,spanish,a-quahuitl,Atl/water; Quahuitl/tree or wood,nan,06d; 09g; 09i
ID015,A-toch-ietl,plant,04a,english,a-toch-ietl,Atl/water,p024_02,04a
ID015,A-toch-ietl,plant,04a,spanish,a-toch-ietl,Atl/water,p024_02,04a
ID016,Atoya-xocotl,plant,01d,english,atoya-xocotl,Atl/water; Xocotl/sour fruit,nan,01d; 10k
ID016,Atoya-xocotl,plant,01d,spanish,atoya-xocotl,Atl/water; Xocotl/sour fruit,nan,01d; 10k
ID016,Atoya-xocotl,plant,10k,english,atoya-xocotl,Atl/water; Xocotl/sour fruit,nan,01d; 10k
ID016,Atoya-xocotl,plant,10k,spanish,atoya-xocotl,Atl/water; Xocotl/sour fruit,nan,01d; 10k
ID017,A-xocotl,plant,08l,english,a-xocotl,Atl/water; Xocotl/sour fruit,nan,08l; 09f; 10k
ID017,A-xocotl,plant,08l,spanish,a-xocotl,Atl/water; Xocotl/sour fruit,nan,08l; 09f; 10k
ID017,A-xocotl,plant,09f,english,a-xocotl,Atl/water; Xocotl/sour fruit,nan,08l; 09f; 10k
ID017,A-xocotl,plant,09f,spanish,a-xocotl,Atl/water; Xocotl/sour fruit,nan,08l; 09f; 10k
ID017,A-xocotl,plant,10k,english,a-xocotl,Atl/water; Xocotl/sour fruit,nan,08l; 09f; 10k
ID017,A-xocotl,plant,10k,spanish,a-xocotl,Atl/water; Xocotl/sour fruit,nan,08l; 09f; 10k
ID018,Ayauh-quahuitl,plant,08f,english,ayauh-quahuitl,Ayauh/mist or fog; Quahuitl/tree or wood,p091_01,08f; 08l; 09f; 09q
ID018,Ayauh-quahuitl,plant,08f,spanish,ayauh-quahuitl,Ayauh/mist or fog; Quahuitl/tree or wood,p091_01,08f; 08l; 09f; 09q
ID018,Ayauh-quahuitl,plant,08l,english,ayauh-quahuitl,Ayauh/mist or fog; Quahuitl/tree or wood,p091_01,08f; 08l; 09f; 09q
ID018,Ayauh-quahuitl,plant,08l,spanish,ayauh-quahuitl,Ayauh/mist or fog; Quahuitl/tree or wood,p091_01,08f; 08l; 09f; 09q
ID018,Ayauh-quahuitl,plant,09f,english,ayauh-quahuitl,Ayauh/mist or fog; Quahuitl/tree or wood,p091_01,08f; 08l; 09f; 09q
ID018,Ayauh-quahuitl,plant,09f,spanish,ayauh-quahuitl,Ayauh/mist or fog; Quahuitl/tree or wood,p091_01,08f; 08l; 09f; 09q
ID018,Ayauh-quahuitl,plant,09q,english,ayauh-quahuitl,Ayauh/mist or fog; Quahuitl/tree or wood,p091_01,08f; 08l; 09f; 09q
ID018,Ayauh-quahuitl,plant,09q,spanish,ayauh-quahuitl,Ayauh/mist or fog; Quahuitl/tree or wood,p091_01,08f; 08l; 09f; 09q
ID019,Ayauhtli,plant,07b,english,ayauhtli,Ayauh/mist or fog,nan,07b
ID019,Ayauhtli,plant,07b,spanish,ayauhtli,Ayauh/mist or fog,nan,07b
ID021,A-illin,plant,08l,english,a-ylin,Atl/water,nan,08l
ID021,A-illin,plant,08l,spanish,a-ylin,Atl/water,nan,08l
ID022,Ylin,plant,07k,english,ylin,nan,nan,07k; 09j; 09o
ID022,Ylin,plant,07k,spanish,ylin,nan,nan,07k; 09j; 09o
ID022,Ylin,plant,09j,english,ylin,nan,nan,07k; 09j; 09o
ID022,Ylin,plant,09j,spanish,ylin,nan,nan,07k; 09j; 09o
ID022,Ylin,plant,09o,english,ylin,nan,nan,07k; 09j; 09o
ID022,Ylin,plant,09o,spanish,ylin,nan,nan,07k; 09j; 09o
ID023,Tepe-ylin,plant,08l,english,tepe-ylin,Tepe/hill or mountain,nan,08l
ID023,Tepe-ylin,plant,08l,spanish,tepe-ylin,Tepe/hill or mountain,nan,08l
ID024,Quetzal-ylin,plant,07k,english,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,07k,spanish,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,07l,english,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,07l,spanish,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,08l,english,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
