ID,official_name,type,subchapter,spelling,variant_checked
ID001,Aca-capac-quilitl,plant,09e,acacapac-quilitl,acacapac-quilitl
ID001,Aca-capac-quilitl,plant,09e,acapac-quilitl,acapac-quilitl
ID003,A-chilli,plant,08j,a-chilli,a-chilli
ID004,Acoco-xihuitl,plant,10a,acoco-xihuitl,acoco-xihuitl
ID005,Acxoyatl,plant,10b,acxoyatl,acxoyatl
ID006,Ahuatl,plant,08l,ahuatl,ahuatl
ID007,Ahquiztli,plant,09b,a-quiztli,a-quiztli
ID009,Ahuiyac-xihuitl,plant,08k,ahuiyac-xihuitl,ahuiyac-xihuitl
ID009,Ahuiyac-xihuitl,plant,11b,ahuiyac-xihuitl,ahuiyac-xihuitl
ID012,Xiuh-amolli,plant,01e,xiuh-amolli,xiuh-amolli
ID014,A-quahuitl,plant,06d,a-quahuitl,a-quahuitl
ID014,A-quahuitl,plant,09g,a-quahuitl,a-quahuitl
ID014,A-quahuitl,plant,09i,a-quahuitl,a-quahuitl
ID015,A-toch-ietl,plant,04a,a-toch-ietl,a-toch-ietl
ID016,Atoya-xocotl,plant,01d,atoya-xocotl,atoya-xocotl
ID016,Atoya-xocotl,plant,10k,atoya-xocotl,atoya-xocotl
ID017,A-xocotl,plant,08l,a-xocotl,a-xocotl
ID017,A-xocotl,plant,09f,a-xocotl,a-xocotl
ID017,A-xocotl,plant,10k,a-xocotl,a-xocotl
ID018,Ayauh-quahuitl,plant,08f,ayauh-quahuitl,ayauh-quahuitl
ID018,Ayauh-quahuitl,plant,08l,ayauh-quahuitl,ayauh-quahuitl
ID018,Ayauh-quahuitl,plant,09f,ayauh-quahuitl,ayauh-quahuitl
ID018,Ayauh-quahuitl,plant,09q,ayauh-quahuitl,ayauh-quahuitl
ID019,Ayauhtli,plant,07b,ayauhtli,ayauhtli
ID021,A-illin,plant,08l,a-ylin,a-ylin
ID022,Ylin,plant,07k,ylin,ylin
ID022,Ylin,plant,09j,ylin,ylin
ID022,Ylin,plant,09o,ylin,ylin
ID023,Tepe-ylin,plant,08l,tepe-ylin,tepe-ylin
ID024,Quetzal-ylin,plant,07k,quetzal-ylin,quetzal-ylin
ID024,Quetzal-ylin,plant,07l,quetzal-ylin,quetzal-ylin
ID024,Quetzal-ylin,plant,08l,quetzal-ylin,quetzal-ylin
ID024,Quetzal-ylin,plant,09i,quetzal-ylin,quetzal-ylin
ID024,Quetzal-ylin,plant,09m,quetzal-ylin,quetzal-ylin
ID024,Quetzal-ylin,plant,13a,quetzal-ylin,quetzal-ylin
ID025,Ayo-nelhuatl,plant,11c,ayo-nelhuatl,ayo-nelhuatl
ID028,Eca-patli,plant,01a,eca-patli,eca-patli
ID028,Eca-patli,plant,05h,eca-patli,eca-patli
ID028,Eca-patli,plant,06d,eca-patli,eca-patli
ID028,Eca-patli,plant,06e,eca-patli,eca-patli
ID028,Eca-patli,plant,08j,eca-patli,eca-patli
ID028,Eca-patli,plant,08j,xiuh-ecapatli,xiuh-ecapatli
ID028,Eca-patli,plant,08k,xiuh-ecapatli,xiuh-ecapatli
ID028,Eca-patli,plant,08l,eca-patli,eca-patli
ID028,Eca-patli,plant,09b,xiuh-ecapatli,xiuh-ecapatli
ID028,Eca-patli,plant,09p,eca-patli,eca-patli
ID028,Eca-patli,plant,10b,xiuh-ecapatli,xiuh-ecapatli
ID028,Eca-patli,plant,10f,xiuh-ecapatli,xiuh-ecapatli
ID028,Eca-patli,plant,12a,xiuh-ecapatli,xiuh-ecapatli
ID030,Elo-xochitl,plant,08l,elo-xochitl,elo-xochitl
ID031,Xiuh-elo-quilitl,plant,11c,xiuh-eloquilitl,xiuh-eloquilitl
ID032,Elo-zacatl,plant,07l,elo-zacatl,elo-zacatl
ID032,Elo-zacatl,plant,11d,elo-zacatl,elo-zacatl
ID036,Iztac huitz-quahuitl,plant,11c,iztac huitz-quahuitl,iztac huitz-quahuitl
ID037,Huitz-quahuitl,plant,08l,huitz-quahuitl,huitz-quahuitl
ID037,Huitz-quahuitl,plant,09d,huitz-quahuitl,huitz-quahuitl
ID039,Iztac-patli,plant,04b,iztac-patli,iztac-patli
ID041,Teo-iztaquilitl,plant,05f,teo-iztac-quilitl,teo-iztac-quilitl
ID041,Teo-iztaquilitl,plant,07b,teo-iztaquilitl,teo-iztaquilitl
ID041,Teo-iztaquilitl,plant,07h,teo-iztaquilitl,teo-iztaquilitl
ID041,Teo-iztaquilitl,plant,09b,teo-iztacuilitl,teo-iztacuilitl
ID041,Teo-iztaquilitl,plant,09e,teo-iztaquilitl,teo-iztaquilitl
ID042,Izqui-xochitl,plant,08l,izqui-xochitl,izqui-xochitl
ID042,Izqui-xochitl,plant,09d,izqui-xochitl,izqui-xochitl
ID042,Izqui-xochitl,plant,09f,izqui-xochitl,izqui-xochitl
ID043,Tlaco-izqui-xochitl,plant,05e,tlaco-izqui-xochitl,tlaco-izqui-xochitl
ID043,Tlaco-izqui-xochitl,plant,08d,tlaco-izqui-xochitl,tlaco-izqui-xochitl
ID043,Tlaco-izqui-xochitl,plant,08l,tlaco-izqui-xochitl,tlaco-izqui-xochitl
ID044,Quauh-izqui-xochitl,plant,09c,quauh-izqui-xochitl,quauh-izqui-xochitl
ID045,Itzquin-patli,plant,07b,itzcuinpatli,itzcuinpatli
ID045,Itzquin-patli,plant,08f,itzquin-patli,itzquin-patli
ID045,Itzquin-patli,plant,08j,itzcuin-patli,itzcuin-patli
ID045,Itzquin-patli,plant,08k,itzcuin-patli,itzcuin-patli
ID047,Ocotl,plant,08l,ocotl,ocotl
ID048,Oco-xochitl,plant,02b,oco-xochitl,oco-xochitl
ID048,Oco-xochitl,plant,10f,nan,nan
ID048,Oco-xochitl,plant,10f,oco-xochitl,oco-xochitl
ID049,Iztac oco-xochitl,plant,01a,iztac oco-xochitl,iztac oco-xochitl
ID049,Iztac oco-xochitl,plant,01a,oco-xochitl,oco-xochitl
ID049,Iztac oco-xochitl,plant,07l,iztac-oco-xochitl,iztac-oco-xochitl
ID049,Iztac oco-xochitl,plant,07l,oco-xochitl,oco-xochitl
ID049,Iztac oco-xochitl,plant,08e,iztac-oco-xochitl,iztac-oco-xochitl
ID049,Iztac oco-xochitl,plant,08e,oco-xochitl,oco-xochitl
ID049,Iztac oco-xochitl,plant,09b,iztac-oco-xochitl,iztac-oco-xochitl
ID049,Iztac oco-xochitl,plant,09b,oco-xochitl,oco-xochitl
ID049,Iztac oco-xochitl,plant,09e,iztac-oco-xochitl,iztac-oco-xochitl
ID049,Iztac oco-xochitl,plant,09e,oco-xochitl,oco-xochitl
ID049,Iztac oco-xochitl,plant,09q,iztac-oco-xochitl,iztac-oco-xochitl
ID049,Iztac oco-xochitl,plant,09q,oco-xochitl,oco-xochitl
ID051,Oyametl,plant,08l,oyametl,oyametl
ID052,Yamanqui patli,plant,09d,yamanqui-patli,yamanqui-patli
ID054,Iztauyattl,plant,06i,iztauh-yattl,iztauh-yattl
ID054,Iztauyattl,plant,08e,iztauh-yatl,iztauh-yatl
ID054,Iztauyattl,plant,08j,iztauh-yatl,iztauh-yatl
ID054,Iztauyattl,plant,08k,iztauh-yatl,iztauh-yatl
ID054,Iztauyattl,plant,09e,iztauhyauh,iztauhyauh
ID054,Iztauyattl,plant,09q,iztauh-yatl,iztauh-yatl
ID054,Iztauyattl,plant,10i,iztauhyatl,iztauhyatl
ID055,Y-yauhtli,plant,06a,yyauhtli,yyauhtli
ID056,Quauh-yyauhtli,plant,08j,quauh-yyauhtli,quauh-yyauhtli
ID056,Quauh-yyauhtli,plant,08j,yyauhtli,yyauhtli
ID056,Quauh-yyauhtli,plant,08l,quauh-yyauhtli,quauh-yyauhtli
ID056,Quauh-yyauhtli,plant,08l,yyauhtli,yyauhtli
ID056,Quauh-yyauhtli,plant,09l,quauh-yyauhtli,quauh-yyauhtli
ID056,Quauh-yyauhtli,plant,09l,yyauhtli,yyauhtli
ID056,Quauh-yyauhtli,plant,09q,quauh-yyauhtli,quauh-yyauhtli
ID056,Quauh-yyauhtli,plant,09q,yyauhtli,yyauhtli
ID056,Quauh-yyauhtli,plant,10b,qauh-yyauhtli,qauh-yyauhtli
ID056,Quauh-yyauhtli,plant,10b,yyauhtli,yyauhtli
ID056,Quauh-yyauhtli,plant,10j,yyauhtli,yyauhtli
ID056,Quauh-yyauhtli,plant,11d,quauh-yyauhtli,quauh-yyauhtli
ID056,Quauh-yyauhtli,plant,11d,yyauhtli,yyauhtli
ID057,Holli,plant,09d,holli,holli
ID058,Yollo-xochitl,plant,08c,yollo-xochitl,yollo-xochitl
ID058,Yollo-xochitl,plant,08d,yollo-xochitl,yollo-xochitl
ID058,Yollo-xochitl,plant,10e,yollo-xochitl,yollo-xochitl
ID058,Yollo-xochitl,plant,10k,yollo-xochitl,yollo-xochitl
ID060,Cacalo-xochitl,plant,08l,cacalo-xochitl,cacalo-xochitl
ID060,Cacalo-xochitl,plant,09g,cacalo-xochitl,cacalo-xochitl
ID060,Cacalo-xochitl,plant,10d,cacalo-xochitl,cacalo-xochitl
ID061,Tlal-cacapol,plant,09m,tlal-cacapol,tlal-cacapol
